,  200,  250,  315,  400,  500,  630,  800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000,
Threshold,,58.4,,,59.3,,,63.7,,,69.2,,,66.4,,,,
Upper Limit,,,,,,,,,,,,,,,,,,
bct,,,,,,,,,,,,,,,,,,
nhl to ehl,,,,,,,,,,,,,,,,,,
REDD,,,,,,,,,,,,,,,,,,
RECD,,,,,,,,,,,,,,,,,,
REUG,,,,,,,,,,,,,,,,,,

Threshold SPL,,58.4,,,59.3,,,63.7,,,69.2,,,66.4,,,,
UCL,,100.5,,,111.1,,,113.7,,,116.6,,,112.1,,,,
Bolt,90.5,90.5,94.1,97.7,101.1,102.6,103.8,103.7,103.1,103.5,106.6,107.1,106.5,102.1,100.4,99.1,99.1,
CT input,36.0,35.9,33.8,38.4,43.6,44.5,42.8,39.8,38.7,37.6,35.3,33.4,34.3,31.1,26.1,27.3,28.7,
ET input,27.0,32.0,29.0,33.0,34.0,31.0,28.5,27.0,26.5,24.0,21.0,20.0,18.5,18.0,16.0,17.5,17.5,
CT output,65.0,65.5,66.1,69.3,74.4,77.5,79.4,77.5,75.3,77.1,81.7,83.7,83.2,77.5,72.5,71.1,69.8,
ET output,56.0,61.6,61.3,63.9,64.8,64.0,65.1,64.7,63.1,63.5,67.4,70.3,67.4,64.3,62.4,61.3,58.6,
CT input Channelized,35.2,35.2,35.2,41.0,41.0,44.1,40.5,40.5,40.5,36.7,36.7,34.1,34.1,28.6,28.6,27.8,27.8,
ET input Channelized,29.3,29.3,29.3,33.5,33.5,30.1,27.3,27.3,27.3,23.2,23.2,19.1,19.1,17.0,17.0,17.4,17.4,
Raw Compression Ratio,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,
RECD Verification,2.4,2.9,3.4,4.2,4.8,4.8,4.6,5.5,5.9,7.4,6.2,3.5,2.3,3.3,3.3,8.3,8.3,
MLE,0.9,0.9,0.8,0.7,0.5,0.5,0.7,1.0,1.2,2.4,3.3,3.4,3.4,1.9,1.7,0.0,0.0,
UCL (RESPL),100.5,100.5,104.1,107.7,111.1,112.6,113.8,113.7,113.1,113.5,116.6,117.1,116.5,112.1,110.4,109.1,109.1,
REAR
Level 1 : 52,65.6,69.0,69.0,72.0,74.7,74.0,75.1,74.7,73.1,73.5,77.4,80.3,77.4,74.3,72.4,71.2,68.6,
Level 2 : 60,70.1,73.6,73.6,76.5,79.2,79.9,81.4,80.3,78.4,79.5,83.7,86.3,84.4,80.2,76.9,75.4,73.4,
Level 3 : 74,71.9,76.6,79.3,81.1,85.2,87.7,90.8,89.6,88.8,90.8,94.5,96.0,94.7,90.3,85.7,82.0,79.3,
REAR 90,98.2,98.2,100.1,101.6,103.4,105.2,107.2,108.2,107.3,107.6,109.8,110.5,110.4,106.6,105.8,105.0,105.0,
Coupler Gain
Level 1 : 52,25.6,23.6,26.2,24.4,25.6,27.7,31.3,31.2,29.4,29.6,36.9,43.4,43.1,41.2,41.4,35.4,32.9,
Level 2 : 60,22.2,20.1,22.7,20.9,22.1,25.8,29.9,29.3,27.3,28.7,36.7,42.8,43.7,39.9,38.7,31.6,29.7,
Level 3 : 74,20.8,17.8,18.4,17.5,17.6,19.0,22.0,21.4,18.5,19.4,27.8,34.8,35.3,32.0,31.7,25.8,24.5,
OSPL 90,95.3,94.7,96.2,97.0,98.3,100.1,102.2,102.1,100.7,98.9,103.6,106.9,108.0,103.3,102.5,96.7,96.7,

Threshold SPL,,58.4,,,59.3,,,63.7,,,69.2,,,66.4,,,,
UCL,,100.5,,,111.1,,,113.7,,,116.6,,,112.1,,,,
Bolt,90.5,90.5,94.1,97.7,101.1,102.6,103.8,103.7,103.1,103.5,106.6,107.1,106.5,102.1,100.4,99.1,99.1,
CT input,36.0,35.9,33.8,38.4,43.6,44.5,42.8,39.8,38.7,37.6,35.3,33.4,34.3,31.1,26.1,27.3,28.7,
ET input,27.0,32.0,29.0,33.0,34.0,31.0,28.5,27.0,26.5,24.0,21.0,20.0,18.5,18.0,16.0,17.5,17.5,
CT output,65.0,65.5,66.1,69.3,74.4,77.5,79.4,77.5,75.3,77.1,81.7,83.7,83.2,77.5,72.5,71.1,69.8,
ET output,56.0,61.6,61.3,63.9,64.8,64.0,65.1,64.7,63.1,63.5,67.4,70.3,67.4,64.3,62.4,61.3,58.6,
CT input Channelized,35.2,35.2,35.2,41.0,41.0,44.1,40.5,40.5,40.5,36.7,36.7,34.1,34.1,28.6,28.6,27.8,27.8,
